Year,Country,GDP per capita,Population,Unemployment rate,Continent
2019,Vanuatu,3076.589886,304404,5.445,Oceania
2019,"Venezuela, RB",..,28971683,5.887,South America
2019,Viet Nam,3491.09141,95776716,1.681,Asia
2019,Virgin Islands (U.S.),38633.52989,106669,12.259,North America
2019,West Bank and Gaza,3656.858271,4685306,25.34,Asia
2019,"Yemen, Rep.",693.8165076,31546691,17.303,Asia
2019,Zambia,1268.120941,18380477,5.539,Africa
2019,Zimbabwe,1421.868596,15354608,7.373,Africa
2020,Afghanistan,512.055098,38972230,11.71,Asia
2020,Albania,5343.037704,2837849,12.79,Europe
2020,Algeria,3794.409524,43451666,14.04,Africa
2020,American Samoa,15609.77722,46189,,Oceania
2020,Andorra,37207.222,77700,,Europe
2020,Angola,1450.905111,33428486,16.676,Africa
2020,Antigua and Barbuda,15224.85859,92664,,North America
2020,Argentina,8500.837939,45376763,11.461,South America
2020,Armenia,4505.867742,2805608,12.18,Asia
2020,Australia,51868.24756,25649248,6.456,Oceania
2020,Austria,48789.49785,8916864,5.201,Europe
2020,Azerbaijan,4229.910649,10093121,7.24,Asia
2020,"Bahamas, The",24499.16476,406471,12.804,North America
2020,Bahrain,23433.18724,1477469,1.767,Asia
2020,Bangladesh,2233.767282,167420951,5.828,Asia
2020,Barbados,17028.41378,280693,9.756,North America
2020,Belarus,6542.86454,9379952,4.049,Europe
2020,Belgium,45587.96831,11538604,5.555,Europe
2020,Belize,5185.15807,394921,10.7,North America
2020,Benin,1240.733155,12643123,1.565,Africa
2020,Bermuda,107791.8864,63893,,North America
2020,Bhutan,3181.339747,772506,5.03,Asia
2020,Bolivia,3068.812555,11936162,7.903,South America
2020,Bosnia and Herzegovina,6095.104237,3318407,15.868,Europe
2020,Botswana,5875.070435,2546402,21.017,Africa
2020,Brazil,6923.699912,213196304,13.697,South America
2020,British Virgin Islands,..,30910,,North America
2020,Brunei Darussalam,27179.35289,441725,7.409,Asia
2020,Bulgaria,10148.3424,6934015,5.125,Europe
2020,Burkina Faso,823.5524109,21522626,4.985,Africa
2020,Burundi,216.8274175,12220227,1.03,Africa
2020,Cabo Verde,3126.399859,582640,14.66,Africa
2020,Cambodia,1577.91174,16396860,0.172,Asia
2020,Cameroon,1539.130545,26491087,3.866,Africa
2020,Canada,43537.8393,38028638,9.657,North America
2020,Cayman Islands,84018.33258,67311,,North America
2020,Central African Republic,435.4692478,5343020,6.556,Africa
2020,Chad,643.7722157,16644701,1.693,Africa
2020,Channel Islands,54357.93445,171113,6.611,Europe
2020,Chile,13162.59135,19300315,11.006,South America
2020,China,10408.71955,1411100000,5,Asia
2020,Colombia,5308.164707,50930662,15.983,South America
2020,Comoros,1519.586781,806166,5.884,Africa
2020,"Congo, Dem. Rep.",524.6666862,92853164,5.369,Africa
2020,"Congo, Rep.",2011.28344,5702174,22.373,Africa
2020,Costa Rica,12179.25667,5123105,16.432,North America
2020,Cote d'Ivoire,2350.751397,26811790,2.559,Africa
2020,Croatia,14383.8695,4047680,7.507,Europe
2020,Cuba,9499.572504,11300698,1.4,North America
2020,Curacao,16356.09336,154947,,North America
2020,Cyprus,28281.41211,1237537,7.755,Asia
2020,Czechia,22992.87938,10697858,2.551,Europe
2020,Denmark,60836.59241,5831404,5.637,Europe
2020,Djibouti,2921.738706,1090156,27.645,Africa
2020,Dominica,7003.469891,71995,,North America
2020,Dominican Republic,7167.914974,10999664,6.126,North America
2020,Ecuador,5450.433761,17588595,6.127,South America
